"ID","NAME","STATUS","OPENINGTIME","CLOSINGTIME","DAYSOFWEEK","PARTOFREFERENCE","MANAGINGORGANIZATION","TYPECODE","TYPEDESCRIPTION"
Q31,RADIOLOGÍA INTERVENCIONISTA ADULTOS,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CONC0,CONC,OR,Operating room
Q32,RADIOLOGÍA INTERVENCIONISTA INFANTIL,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q33,QUIROFANO 33 (HERMANOS SANGRO),inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CEPHS0,CEPHS,OR,Operating room
Q34,QUIROFANO 34,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CAMB1,CAMB,OR,Operating room
Q35,QUIROFANO 35,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CAMB1,CAMB,OR,Operating room
Q36,QUIROFANO 36,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CAMB1,CAMB,OR,Operating room
Q37,QUIRÓFANO 37,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CREH1,CREH,OR,Operating room
Q38,QUIRÓFANO 38,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CREH1,CREH,OR,Operating room
Q39,QUIRÓFANO 39,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COFT1,COFT,OR,Operating room
Q40,QUIROFANO 40,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COFT1,COFT,OR,Operating room
Q41,QUIROFANO 41,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COFT1,COFT,OR,Operating room
Q42,QUIROFANO 42,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COFT1,COFT,OR,Operating room
Q50,QUIROFANO 50,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COBG0,COBG,OR,Operating room
Q51,QUIROFANO 51,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COBG0,COBG,OR,Operating room
Q52,QUIROFANO 52,active,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGU,COBG,OR,Operating room
Q53,QUIROFANO 53,active,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGU,COBG,OR,Operating room
Q54,QUIROFANO 54,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COBG2,COBG,OR,Operating room
Q55,QUIROFANO 55,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",COBG2,COBG,OR,Operating room
Q56,QUIROFANO 56,active,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CINFU,CINF,OR,Operating room
Q57,QUIROFANO 57,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q58,QUIROFANO 58,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q59,QUIROFANO 59,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q60,QUIROFANO 60,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q126,QUIROFANO ANTIGUO INFANTIL 126,inactive,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINFIN,CINF,OR,Operating room
Q127,QUIRÓFANO ANTIGUO INFANTIL 127,inactive,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINFIN,CINF,OR,Operating room
Q128,QUIRÓFANO ANTIGUO INFANTIL 128,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CINFIN,CINF,OR,Operating room
Q130,QUIROFANO ANTIGUA MATER 2PL,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
Q131,QUIROFANO ANTIGUA MATER 2PL,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
Q132,QUIROFANO ANTIGUA MATER 3PL,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
Q132B,QUIROFANO URGENCIA OBS CLINICA 1,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
Q133,QUIROFANO ANTIGUA MATER 3PL,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
Q133B,QUIROFANO URGENCIA OBS CLINICA 2,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",COBGIN,COBG,OR,Operating room
P1,PARITORIO 1,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P2,PARITORIO 2,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P3,PARITORIO 3,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P4,PARITORIO 4,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P5,PARITORIO 5,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P6,PARITORIO 6,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P7,PARITORIO 7,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P8,PARITORIO 8,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
P9,PARITORIO 9,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",PARITORIO,COBG,OR,Operating room
A06,ANTEQUIROFANO 06A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A05,ANTEQUIROFANO 05A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
C608,Cama C608,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C609,Cama C609,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C610,Cama C610,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C611,Cama C611,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C612,Cama C612,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C613,Cama C613,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C614,Cama C614,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C615,Cama C615,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C616,Cama C616,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C617,Cama C617,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C618,Cama C618,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C619,Cama C619,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C620,Cama C620,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C621,Cama C621,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C622,Cama C622,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C623,Cama C623,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
C624,Cama C624,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",C600,CMQUI,BD,Bed
CV01,Cama CV01,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV02,Cama CV02,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV20,Cama CV20,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV21,Cama CV21,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV22,Cama CV22,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV23,Cama CV23,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV24,Cama CV24,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV25,Cama CV25,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV26,Cama CV26,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV27,Cama CV27,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV28,Cama CV28,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV29,Cama CV29,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV2,CMQUI,BD,Bed
CV30,Cama CV30,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV31,Cama CV31,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV32,Cama CV32,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV33,Cama CV33,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV34,Cama CV34,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV35,Cama CV35,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV36,Cama CV36,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV37,Cama CV37,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV38,Cama CV38,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV39,Cama CV39,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV3,COBG,BD,Bed
CV40,Cama CV40,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV4,CINF,BD,Bed
CV41,Cama CV41,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV4,CINF,BD,Bed
CV50,Cama CV50,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV51,Cama CV51,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV52,Cama CV52,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV53,Cama CV53,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV54,Cama CV54,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV55,Cama CV55,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV56,Cama CV56,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV57,Cama CV57,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV58,Cama CV58,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV59,Cama CV59,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV5,CONC,BD,Bed
CV60,Cama CV60,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV61,Cama CV61,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV62,Cama CV62,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV63,Cama CV63,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV64,Cama CV64,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV65,Cama CV65,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV66,Cama CV66,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV67,Cama CV67,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV68,Cama CV68,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV69,Cama CV69,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV6,CPSQ,BD,Bed
CV80,Cama CV80,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV81,Cama CV81,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV82,Cama CV82,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV83,Cama CV83,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
UVIEX1,UVI EXPANSIÓN 1,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",REF,CMQUI,BD,Bed
UVIEX2,UVI EXPANSIÓN 2,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",REF,CMQUI,BD,Bed
UVIEX5,UVI EXPANSIÓN 5,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",REF,CMQUI,BD,Bed
CV84,Cama CV84,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV85,Cama CV85,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV86,Cama CV86,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV87,Cama CV87,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV88,Cama CV88,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV89,Cama CV89,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV8,CREH,BD,Bed
CV90,Cama CV90,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV9,COFT,BD,Bed
CV91,Cama CV91,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV9,COFT,BD,Bed
CV92,Cama CV92,active,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV9,COFT,BD,Bed
CV93,Cama CV93,inactive,"00:00:00","23:59:59","mon,tue,wed,thu,fri,sat,sun",CV9,COFT,BD,Bed
A07,ANTEQUIROFANO 07A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
SINEURO,SALA INTERVENCIONISTA RX NEURO,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
SVASCULA,SALA A INTERVENCIONISTA RX VASCULAR,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
SIUROLO,SALA INTERVENCIONISTA UROLOGIA,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CAMB,OR,Operating room
SISCANNE,SALA INTERVENCIONISTA SCANNER RADIOFRECUENCIAS,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
SIRESON,SALA INTERVENCIONISTA RESONANCIA MAGNÉTICA,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CONC,OR,Operating room
SIHEMOD,SALA INTERVENCIONISTA HEMODINÁMICA,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
SIALERG,SALA INTERVENCIONISTA ALERGIA,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
A01A,Antequirófano 01A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
K02,Quirófano K02,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUII,CMQUI,OR,Operating room
Q0,Quirófano no proporcionado o desconocido,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUII,CMQUI,OR,Operating room
QCA101,Quirófano 101,inactive,"00:00:00","23:00:00","mon,tue,wed,thu,fri",HCANI,HCAN,OR,Operating room
QCA102,Quirófano 102,inactive,"00:00:00","23:00:00","mon,tue,wed,thu,fri",HCANI,HCAN,OR,Operating room
QCA103,Quirófano 103,inactive,"00:00:00","23:00:00","mon,tue,wed,thu,fri",HCANI,HCAN,OR,Operating room
SIHEMINF,SALA INTERVENCIONISTA HEMODINÁMICA,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CINF,OR,Operating room
SIRXIN,SALA INTERVENCIONISTA RX-RM,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CINF,OR,Operating room
SIHDQUI,SALA INTERVENCIONISTA HDD QUIRÚRGICO,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CINF,OR,Operating room
A04,Antequirófano 04A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A02,Antequirófano 02A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A03,Antequirófano 03A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A13,Antequirófano 13A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A19,Antequirófano 19A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
A36,Antequirófano 36A,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",AQS,CMQUI,OR,Operating room
SVASCULB,SALA B INTERVENCIONISTA RX VASCULAR,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
Q99,QUIROFANO 99 (CIR EN UVI ),active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
SVASCULC,SALA C INTERVENCIONISTA RX VASCULAR,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",SINTERV,CMQUI,OR,Operating room
QEX,QUIROFANO EXTRA,active,"08:00:00","23:30:00","mon,tue,wed,thu,fri",CAMB1,CAMB,OR,Operating room
Q61,QUIROFANO 61,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CAMB1,CAMB,OR,Operating room
PRUEBA1,PRUEBA1,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ103,Quirófano 03,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ101,Quirófano 01,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ102,Quirófano 02,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ104,Quirófano 04,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ105,Quirófano 05,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ106,Quirófano 06,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ107,Quirófano 07,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ108,Quirófano 08,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ109,Quirófano 09,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ110,Quirófano 10,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ111,Quirófano 11,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ112,Quirófano 12,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ113,Quirófano 13,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ114,Quirófano 14,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ215,Quirófano 15,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ216,Quirófano 16,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ217,Quirófano 17,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ218,Quirófano 18,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ219,Quirófano 19,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ220,Quirófano 20,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ321,Quirófano 21,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ322,Quirófano 22,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ323,Quirófano 23,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ324,Quirófano 24,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ325,Quirófano 25,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ326,Quirófano 26,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ327,Quirófano 27,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ328,Quirófano 28,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ329,Quirófano 29,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
CQ330,Quirófano 30,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
QCQ101,Quirófano 101,inactive,"00:00:00","23:00:00","mon,tue,wed,thu,fri",HCANI,HCAN,OR,Operating room
Q102R,Quirófano 02,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,PQUIR,OR,Operating room
prueba2,prueba2,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,CQUIR,OR,Operating room
Q101R,Quirófano 01,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",,PQUIR,OR,Operating room
